IPV4_SRC_ADDR,IPV4_DST_ADDR,L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,FLOW_DURATION_MILLISECONDS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,FLOW_START_MILLISECONDS,FLOW_END_MILLISECONDS,SRC_TO_DST_IAT_MIN,SRC_TO_DST_IAT_MAX,SRC_TO_DST_IAT_AVG,SRC_TO_DST_IAT_STDDEV,DST_TO_SRC_IAT_MIN,DST_TO_SRC_IAT_MAX,DST_TO_SRC_IAT_AVG,DST_TO_SRC_IAT_STDDEV
192.168.6.225,192.73.242.204,41641,3478,17,0,68,60,1,1,198,0,0,0,0,0,51,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126682,1776660126880,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,176.58.92.254,41641,3478,17,0,68,60,1,1,309,0,0,0,0,0,45,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126679,1776660126988,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,205.147.105.78,41641,3478,17,0,68,60,1,1,239,0,0,0,0,0,54,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126682,1776660126921,0,0,0.0,0.0,0,0,0.0,0.0
172.105.169.57,192.168.6.225,443,47768,6,91,620,364,7,7,128653,24,24,16,128653,128653,56,64,241,66,52,227,4.819164729932454,2.8293160672506663,0,0,0,0,38.55331783945963,22.63452853800533,13,1,0,0,0,1731,5893,0,0,0,0,0,0,1776660060688,1776660189341,2725,31396,21442.166666666664,13317.092226408386,2734,31385,21442.166666666664,13312.762829956322
192.168.6.225,102.67.167.188,41641,3478,17,0,68,60,1,1,408,0,0,0,0,0,41,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126682,1776660127090,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.123,192.168.6.225,38454,22,6,92,239,282,4,5,1,30,26,30,1,1,64,64,92,54,40,78,239000.0,282000.0,0,0,0,0,1912000.0,2256000.0,9,0,0,0,0,64240,65160,0,0,0,0,0,0,1776660062316,1776660062317,0,1,0.33333333333333337,0.5773502691896258,0,1,0.25,0.5
192.168.6.225,208.111.40.216,41641,3478,17,0,68,60,1,1,186,0,0,0,0,0,54,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126683,1776660126869,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,102.67.165.185,41641,3478,17,0,68,60,1,1,510,0,0,0,0,0,51,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126780,1776660127290,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,45.159.98.253,41641,3478,17,0,68,60,1,1,336,0,0,0,0,0,43,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126783,1776660127119,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,49.13.204.141,41641,3478,17,0,68,60,1,1,324,0,0,0,0,0,37,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126680,1776660127004,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,162.248.221.199,41641,3478,17,0,68,60,1,1,237,0,0,0,0,0,50,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126881,1776660127118,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,176.58.93.154,41641,3478,17,0,68,60,1,1,322,0,0,0,0,0,45,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126681,1776660127003,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,172.105.169.57,33650,80,6,7,526,478,5,5,32,27,27,27,22,23,54,64,324,66,52,310,23909.090909090908,20782.608695652172,0,0,0,0,191272.72727272726,166260.86956521738,8,0,2,0,0,64240,65160,0,0,0,0,0,0,1776660127126,1776660127158,0,12,5.5,5.916079783099616,0,12,5.75,6.652067347825035
192.168.6.225,199.38.181.103,41641,3478,17,0,68,60,1,1,244,0,0,0,0,0,47,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126679,1776660126923,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.123,192.168.6.225,38468,22,6,92,239,282,4,5,0,30,26,30,0,0,64,64,92,54,40,78,0,0,0,0,0,0,0,0,9,0,0,0,0,64240,65160,0,0,0,0,0,0,1776660062540,1776660062540,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,176.58.90.104,41641,3478,17,0,68,60,1,1,325,0,0,0,0,0,44,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126682,1776660127007,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.123,192.168.6.225,39422,22,6,92,239,282,4,5,0,30,26,30,0,0,64,64,92,54,40,78,0,0,0,0,0,0,0,0,9,0,0,0,0,64240,65160,0,0,0,0,0,0,1776660176332,1776660176332,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,192.168.6.123,22,36920,6,92,804,648,10,6,14466,25,25,25,14466,14464,64,64,150,66,52,136,55.578598092077975,44.80088495575221,0,0,0,0,444.6287847366238,358.4070796460177,12,4,0,0,0,532,68,0,0,0,0,0,0,1776660051679,1776660066145,1,3613,1607.3333333333333,1902.7432827367963,2,3620,2892.8,1616.0084158196703
192.168.6.225,192.73.240.132,41641,3478,17,0,68,60,1,1,197,0,0,0,0,0,51,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126682,1776660126879,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,157.180.28.32,41641,3478,17,0,68,60,1,1,339,0,0,0,0,0,38,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126683,1776660127022,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,176.58.93.147,41641,3478,17,0,68,60,1,1,317,0,0,0,0,0,45,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126781,1776660127098,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,172.237.61.190,41641,3478,17,0,68,60,1,1,329,0,0,0,0,0,52,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126683,1776660127012,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,172.237.72.79,41641,3478,17,0,68,60,1,1,242,0,0,0,0,0,50,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126781,1776660127023,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.123,192.168.6.225,38488,22,6,92,239,282,4,5,2,30,26,30,2,2,64,64,92,54,40,78,119500.0,141000.0,0,0,0,0,956000.0,1128000.0,9,0,0,0,0,64240,65160,0,0,0,0,0,0,1776660062995,1776660062997,0,1,0.6666666666666666,0.5773502691896258,0,1,0.5,0.5773502691896257
192.168.6.123,192.168.6.225,38482,22,6,92,239,282,4,5,2,30,26,30,2,2,64,64,92,54,40,78,119500.0,141000.0,0,0,0,0,956000.0,1128000.0,9,0,0,0,0,64240,65160,0,0,0,0,0,0,1776660062768,1776660062770,0,1,0.6666666666666666,0.5773502691896258,0,1,0.5,0.5773502691896257
192.168.6.225,209.177.158.15,41641,3478,17,0,68,60,1,1,227,0,0,0,0,0,49,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126781,1776660127008,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,192.73.248.83,41641,3478,17,0,68,60,1,1,215,0,0,0,0,0,51,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126781,1776660126996,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,176.58.88.183,41641,3478,17,0,68,60,1,1,306,0,0,0,0,0,46,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126780,1776660127086,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,102.67.167.37,41641,3478,17,0,68,60,1,1,402,0,0,0,0,0,40,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126783,1776660127185,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,192.73.242.28,41641,3478,17,0,68,60,1,1,199,0,0,0,0,0,51,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126783,1776660126982,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,49.12.193.137,41641,3478,17,0,68,60,1,1,332,0,0,0,0,0,37,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126780,1776660127112,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,208.111.40.12,41641,3478,17,0,68,60,1,1,176,0,0,0,0,0,53,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126783,1776660126959,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.123,192.168.6.225,38510,22,6,92,239,282,4,5,1,30,26,30,1,1,64,64,92,54,40,78,239000.0,282000.0,0,0,0,0,1912000.0,2256000.0,9,0,0,0,0,64240,65160,0,0,0,0,0,0,1776660063682,1776660063683,0,1,0.3333333333333333,0.5773502691896258,0,1,0.25,0.5
192.168.6.225,192.200.0.115,58602,443,6,91,416,966,8,7,131381,24,16,24,131072,131071,44,64,235,66,52,221,3.173828125,7.370051346216936,0,0,0,0,25.390625,58.96041076973549,11,4,0,0,0,3572,81,0,0,0,0,0,0,1776660064239,1776660195620,1846,30922,18724.571428571428,13086.847008315168,1537,37440,21845.166666666668,14519.867153891824
192.168.6.225,172.238.6.179,41641,3478,17,0,68,60,1,1,236,0,0,0,0,0,47,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126783,1776660127019,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,176.58.90.207,41641,3478,17,0,68,60,1,1,315,0,0,0,0,0,44,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126783,1776660127098,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,138.25.4.89,41641,41641,17,0,13950,14240,97,99,150328,0,0,0,150328,150312,54,64,266,74,60,252,92.79708371028684,94.73628186704987,0,0,0,0,742.3766696822947,757.890254936399,9,187,0,0,0,0,0,0,0,0,0,0,0,1776660048413,1776660198741,0,5995,1565.916666666667,1455.769593298311,0,5986,1533.7959183673472,1426.3691773472465
192.168.6.225,102.67.165.90,41641,3478,17,0,68,60,1,1,486,0,0,0,0,0,51,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126878,1776660127364,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,138.25.4.85,41641,41641,17,0,456,0,3,0,119993,0,0,0,119993,0,64,64,166,166,152,152,3.8002216795979766,0,0,0,0,0,30.401773436783813,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1776660066687,1776660186680,59980,60013,59996.5,23.33452377915607,0,0,0.0,0.0
192.168.6.66,224.0.0.251,5353,5353,17,8,73,0,1,0,0,0,0,0,0,0,255,255,87,87,73,73,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1776660100055,1776660100055,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,172.237.61.197,41641,3478,17,0,68,60,1,1,324,0,0,0,0,0,52,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126783,1776660127107,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,192.168.6.123,22,36890,6,92,804,648,10,6,14464,25,25,25,14464,14462,64,64,150,66,52,136,55.586283185840706,44.807080625086435,0,0,0,0,444.69026548672565,358.4566450006915,12,4,0,0,0,532,68,0,0,0,0,0,0,1776660051228,1776660065692,1,3613,1607.111111111111,1902.2423244978836,3,3618,2892.4,1615.224845029323
192.168.6.225,185.34.3.232,41641,3478,17,0,68,60,1,1,339,0,0,0,0,0,43,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126881,1776660127220,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,172.19.112.48,41641,41641,17,0,456,0,3,0,119992,0,0,0,119992,0,64,64,166,166,152,152,3.800253350223348,0,0,0,0,0,30.402026801786786,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1776660066688,1776660186680,59979,60013,59996.0,24.041630560342615,0,0,0.0,0.0
192.168.6.225,192.168.6.123,22,36936,6,92,804,648,10,6,12654,25,25,25,12654,12653,64,64,150,66,52,136,63.53722143195827,51.21315103137596,0,0,0,0,508.2977714556662,409.70520825100766,12,4,0,0,0,532,68,0,0,0,0,0,0,1776660051157,1776660063811,0,3613,1406.0,1754.5597026034766,2,3618,2530.6,1615.7841130547113
192.168.6.66,239.255.255.250,59307,1900,17,12,153,0,1,0,0,0,0,0,0,0,255,255,167,167,153,153,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1776660102007,1776660102007,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,209.177.145.120,41641,3478,17,0,68,60,1,1,245,0,0,0,0,0,47,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126879,1776660127124,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,192.73.243.135,41641,3478,17,0,68,60,1,1,249,0,0,0,0,0,50,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126881,1776660127130,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,199.165.136.100,59890,443,6,91,6318,1568,17,15,128508,24,24,24,128508,128217,48,64,1870,66,52,1856,49.164254365486975,12.229267569823035,0,0,0,0,393.3140349238958,97.83414055858428,16,8,2,5,1,570,676,0,0,0,0,0,0,1776660060431,1776660188939,267,30280,8031.750000000002,10036.862129171648,0,30526,9158.357142857141,10473.412951976894
192.168.6.225,102.67.165.36,41641,3478,17,0,68,60,1,1,498,0,0,0,0,0,51,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126677,1776660127175,0,0,0.0,0.0,0,0,0.0,0.0
